push_n,fell,recovered,recovery_time_s,max_tilt_deg,velocity_loss,pre_push_vel_err,feet_in_contact_at_push,peak_dv,direction_deg
0.0,False,True,0.0,2.989567995071411,0.0,0.7224754095077515,3.0,0.1823689192533493,0.0
0.0,False,True,0.0,2.763925552368164,0.0,0.5831856727600098,3.0,0.18378210067749023,0.0
0.0,False,True,0.0,2.5401406288146973,0.0,0.5875530242919922,12.0,0.21507248282432556,0.0
0.0,False,True,0.0,2.5848257541656494,0.0,0.5906677842140198,10.0,0.15977726876735687,0.0
0.0,False,True,0.0,2.434295415878296,0.0,0.5839521884918213,6.0,0.12426607310771942,0.0
0.0,False,True,0.0,2.796243906021118,0.0,0.6350697875022888,8.0,0.15923748910427094,0.0
0.0,False,True,0.0,2.9206748008728027,0.0,0.6432587504386902,3.0,0.1534251570701599,0.0
0.0,False,True,0.0,2.5975165367126465,0.0,0.5944444537162781,9.0,0.14530928432941437,0.0
0.0,False,True,0.0,2.9331817626953125,0.0,0.6571344137191772,5.0,0.16231976449489594,0.0
0.0,False,True,0.0,2.5697124004364014,0.0,0.5944458246231079,8.0,0.1762489378452301,0.0
0.0,False,True,0.0,3.00797700881958,0.0,0.6518273949623108,6.0,0.14582274854183197,0.0
0.0,False,True,0.0,2.583083391189575,0.0,0.6159321665763855,12.0,0.16271305084228516,0.0
0.0,False,True,0.0,3.1502649784088135,0.0,0.6534358263015747,5.0,0.1578110307455063,0.0
0.0,False,True,0.0,2.488527774810791,0.0,0.6055551767349243,8.0,0.16676491498947144,0.0
0.0,False,True,0.0,2.8630013465881348,0.0,0.6377817392349243,7.0,0.1540875881910324,0.0
0.0,False,True,0.0,2.9847841262817383,0.0,0.6440006494522095,7.0,0.173296257853508,0.0
0.0,False,True,0.0,2.2368593215942383,0.0,0.5864059329032898,7.0,0.1432672142982483,0.0
0.0,False,True,0.0,2.423658847808838,0.0,0.6024972796440125,4.0,0.1873708963394165,0.0
0.0,False,True,0.0,3.120293378829956,0.0,0.6440709829330444,3.0,0.1451697200536728,0.0
0.0,False,True,0.0,2.7346627712249756,0.0,0.629589855670929,4.0,0.17065784335136414,0.0
0.0,False,True,0.0,2.800510883331299,0.0,0.6718630194664001,7.0,0.17308832705020905,0.0
0.0,False,True,0.0,2.731081485748291,0.0,0.5794388651847839,12.0,0.18358692526817322,0.0
0.0,False,True,0.0,2.936516761779785,0.0,0.6292039752006531,7.0,0.14633820950984955,0.0
