push_n,fell,recovered,recovery_time_s,max_tilt_deg,velocity_loss,pre_push_vel_err,feet_in_contact_at_push,peak_dv,direction_deg
0.0,False,True,0.0,4.072657108306885,0.0,2.022080421447754,5.0,0.28685712814331055,0.0
0.0,False,True,0.0,3.4066855907440186,0.0,0.9018041491508484,3.0,0.32034626603126526,0.0
0.0,False,True,0.0,3.02543306350708,0.0,0.7583759427070618,9.0,0.3028114140033722,0.0
0.0,False,True,0.0,3.694856643676758,0.0,0.7863181829452515,9.0,0.2659108340740204,0.0
0.0,False,True,0.0,3.230285167694092,0.0,0.7544375061988831,9.0,0.24720662832260132,0.0
0.0,False,True,0.0,3.5730857849121094,0.0,1.0641742944717407,6.0,0.218110129237175,0.0
0.0,False,True,0.0,4.650210380554199,0.0,1.3666014671325684,9.0,0.21528257429599762,0.0
0.0,False,True,0.0,3.6668758392333984,0.0,0.8099178075790405,4.0,0.3122193515300751,0.0
0.0,False,True,0.0,4.351271629333496,0.0,1.1987206935882568,7.0,0.21343258023262024,0.0
0.0,False,True,0.0,2.758183002471924,0.0,0.7162070274353027,5.0,0.27988019585609436,0.0
0.0,False,True,0.0,4.090649604797363,0.0,1.5024391412734985,9.0,0.20635901391506195,0.0
0.0,False,True,0.0,3.1201679706573486,0.0,0.8277868032455444,5.0,0.28935950994491577,0.0
0.0,False,True,0.0,3.8327231407165527,0.0,1.4491889476776123,5.0,0.2273503988981247,0.0
0.0,False,True,0.0,2.9307780265808105,0.0,0.9821435809135437,5.0,0.2936569154262543,0.0
0.0,False,True,0.0,3.355905294418335,0.0,1.383998990058899,8.0,0.2149045318365097,0.0
0.0,False,True,0.0,3.4916610717773438,0.0,1.632727861404419,7.0,0.23357796669006348,0.0
0.0,False,True,0.0,3.3197736740112305,0.0,1.2262468338012695,3.0,0.3630676865577698,0.0
0.0,False,True,0.0,3.1361889839172363,0.0,0.8935030102729797,3.0,0.28790390491485596,0.0
0.0,False,True,0.0,3.6388955116271973,0.0,1.5584895610809326,5.0,0.2384701818227768,0.0
0.0,False,True,0.0,3.3970742225646973,0.0,0.7888538241386414,5.0,0.2361169159412384,0.0
