policy,direction,direction_deg,push_n,recovery_rate
P2_push,from_front,180.0,1000.0,0.0000
P2_push,from_left,270.0,0.0,1.0000
P2_push,from_left,270.0,50.0,1.0000
P2_push,from_left,270.0,100.0,1.0000
P2_push,from_left,270.0,150.0,0.9844
P2_push,from_left,270.0,200.0,0.9538
P2_push,from_left,270.0,250.0,0.9538
P2_push,from_left,270.0,300.0,0.8939
P2_push,from_left,270.0,350.0,0.9104
P2_push,from_left,270.0,400.0,0.8955
P2_push,from_left,270.0,450.0,0.9688
P2_push,from_left,270.0,500.0,0.9077
P2_push,from_left,270.0,550.0,0.8906
P2_push,from_left,270.0,600.0,0.8154
P2_push,from_left,270.0,650.0,0.7536
P2_push,from_left,270.0,700.0,0.5455
P2_push,from_left,270.0,750.0,0.3371
P2_push,from_left,270.0,800.0,0.1683
P2_push,from_left,270.0,850.0,0.0541
P2_push,from_left,270.0,900.0,0.0165
P2_push,from_left,270.0,1000.0,0.0000
P3_robust,from_behind,0.0,0.0,1.0000
P3_robust,from_behind,0.0,50.0,1.0000
P3_robust,from_behind,0.0,100.0,1.0000
P3_robust,from_behind,0.0,150.0,1.0000
P3_robust,from_behind,0.0,200.0,1.0000
P3_robust,from_behind,0.0,250.0,1.0000
P3_robust,from_behind,0.0,300.0,0.9688
P3_robust,from_behind,0.0,350.0,0.9385
P3_robust,from_behind,0.0,400.0,0.9219
P3_robust,from_behind,0.0,450.0,0.9375
P3_robust,from_behind,0.0,500.0,0.9219
P3_robust,from_behind,0.0,550.0,0.7812
P3_robust,from_behind,0.0,600.0,0.6324
P3_robust,from_behind,0.0,650.0,0.3924
P3_robust,from_behind,0.0,700.0,0.2584
P3_robust,from_behind,0.0,750.0,0.1048
P3_robust,from_behind,0.0,800.0,0.0541
P3_robust,from_behind,0.0,850.0,0.0000
P3_robust,from_behind,0.0,900.0,0.0000
P3_robust,from_behind,0.0,1000.0,0.0000
P3_robust,from_right,90.0,0.0,1.0000
P3_robust,from_right,90.0,50.0,1.0000
P3_robust,from_right,90.0,100.0,1.0000
P3_robust,from_right,90.0,150.0,1.0000
P3_robust,from_right,90.0,200.0,1.0000
P3_robust,from_right,90.0,250.0,0.9844
P3_robust,from_right,90.0,300.0,1.0000
P3_robust,from_right,90.0,350.0,0.9844
P3_robust,from_right,90.0,400.0,1.0000
P3_robust,from_right,90.0,450.0,0.9844
P3_robust,from_right,90.0,500.0,0.9242
P3_robust,from_right,90.0,550.0,0.8000
P3_robust,from_right,90.0,600.0,0.7083
P3_robust,from_right,90.0,650.0,0.5625
P3_robust,from_right,90.0,700.0,0.3933
P3_robust,from_right,90.0,750.0,0.2680
P3_robust,from_right,90.0,800.0,0.1792
P3_robust,from_right,90.0,850.0,0.0504
P3_robust,from_right,90.0,900.0,0.0161
P3_robust,from_right,90.0,1000.0,0.0079
P3_robust,from_front,180.0,0.0,1.0000
P3_robust,from_front,180.0,50.0,1.0000
P3_robust,from_front,180.0,100.0,1.0000
P3_robust,from_front,180.0,150.0,1.0000
P3_robust,from_front,180.0,200.0,1.0000
P3_robust,from_front,180.0,250.0,1.0000
P3_robust,from_front,180.0,300.0,1.0000
P3_robust,from_front,180.0,350.0,0.9844
P3_robust,from_front,180.0,400.0,0.9531
P3_robust,from_front,180.0,450.0,0.9375
P3_robust,from_front,180.0,500.0,0.8806
P3_robust,from_front,180.0,550.0,0.6757
P3_robust,from_front,180.0,600.0,0.4767
P3_robust,from_front,180.0,650.0,0.3404
P3_robust,from_front,180.0,700.0,0.1852
P3_robust,from_front,180.0,750.0,0.0413
P3_robust,from_front,180.0,800.0,0.0159
P3_robust,from_front,180.0,850.0,0.0160
P3_robust,from_front,180.0,900.0,0.0000
P3_robust,from_front,180.0,1000.0,0.0000
P3_robust,from_left,270.0,0.0,1.0000
P3_robust,from_left,270.0,50.0,1.0000
P3_robust,from_left,270.0,100.0,1.0000
P3_robust,from_left,270.0,150.0,1.0000
P3_robust,from_left,270.0,200.0,1.0000
P3_robust,from_left,270.0,250.0,1.0000
P3_robust,from_left,270.0,300.0,1.0000
P3_robust,from_left,270.0,350.0,0.9688
P3_robust,from_left,270.0,400.0,0.9688
P3_robust,from_left,270.0,450.0,0.9844
P3_robust,from_left,270.0,500.0,0.9844
P3_robust,from_left,270.0,550.0,0.9531
P3_robust,from_left,270.0,600.0,0.9219
P3_robust,from_left,270.0,650.0,0.8485
P3_robust,from_left,270.0,700.0,0.7164
P3_robust,from_left,270.0,750.0,0.5000
P3_robust,from_left,270.0,800.0,0.2824
P3_robust,from_left,270.0,850.0,0.0645
P3_robust,from_left,270.0,900.0,0.0196
P3_robust,from_left,270.0,1000.0,0.0000
legacy,from_behind,0.0,0.0,1.0000
legacy,from_behind,0.0,50.0,1.0000
legacy,from_behind,0.0,100.0,1.0000
legacy,from_behind,0.0,150.0,1.0000
legacy,from_behind,0.0,200.0,1.0000
legacy,from_behind,0.0,250.0,1.0000
legacy,from_behind,0.0,300.0,1.0000
legacy,from_behind,0.0,350.0,0.9844
legacy,from_behind,0.0,400.0,0.9531
legacy,from_behind,0.0,450.0,0.8657
legacy,from_behind,0.0,500.0,0.6216
legacy,from_behind,0.0,550.0,0.1828
legacy,from_behind,0.0,600.0,0.0252
legacy,from_behind,0.0,650.0,0.0000
legacy,from_behind,0.0,700.0,0.0000
