policy,f_star_overall_n,f_star_from_behind_n,f_star_from_front_n,f_star_from_right_n,f_star_from_left_n,max_force_tested_n,total_scored_pushes
P1_nominal,336.7435158501441,396.65354330708664,387.23613156602846,312.1345029239766,267.00067934782606,700.0,5411
P2_push,639.0650353735315,591.0172272354389,597.9425028184893,653.8606403013182,710.906862745098,1000.0,6447
P3_robust,654.4877952310995,627.5795190069822,594.1548183254345,668.4647302904565,750.0,1000.0,6333
legacy,431.38248311204285,513.8576158940398,461.7148906139732,403.6826119969628,388.0514705882353,700.0,4981
