push_n,fell,recovered,recovery_time_s,max_tilt_deg,velocity_loss,pre_push_vel_err,feet_in_contact_at_push,peak_dv,direction_deg
700.0,True,False,nan,46.75037384033203,0.1756155788898468,0.7463722229003906,6.0,3.5424134731292725,0.0
700.0,True,False,nan,46.63453674316406,0.18704091012477875,0.7150686383247375,3.0,3.5527396202087402,0.0
700.0,True,False,nan,47.87374496459961,0.13496533036231995,0.8729082345962524,7.0,3.366246461868286,0.0
700.0,True,False,nan,45.52058410644531,0.12496504187583923,1.0050079822540283,7.0,3.4722912311553955,0.0
700.0,True,False,nan,46.89329147338867,0.15888379514217377,0.7047410607337952,1.0,3.2132363319396973,0.0
700.0,True,False,nan,45.683128356933594,0.16056008636951447,0.8212335109710693,7.0,3.5209622383117676,0.0
700.0,True,False,nan,51.24476623535156,0.15357887744903564,0.8152322173118591,7.0,3.421386480331421,0.0
700.0,True,False,nan,46.710269927978516,0.1384783685207367,0.9236630797386169,7.0,3.3057596683502197,0.0
700.0,True,False,nan,46.83743667602539,0.16619126498699188,0.7953422665596008,3.0,3.035179615020752,0.0
700.0,True,False,nan,45.454532623291016,0.1734492927789688,0.8951349854469299,4.0,3.1891868114471436,0.0
700.0,True,False,nan,49.28224182128906,0.17435699701309204,0.9312058091163635,3.0,3.4622764587402344,0.0
700.0,True,False,nan,47.65116882324219,0.21401408314704895,0.7718132734298706,4.0,3.5017058849334717,0.0
700.0,True,False,nan,56.703426361083984,0.16404180228710175,0.8208797574043274,1.0,3.4044389724731445,0.0
700.0,True,False,nan,49.59961700439453,0.20783761143684387,0.8046790361404419,4.0,3.289350748062134,0.0
700.0,True,False,nan,53.54940414428711,0.14427028596401215,0.962032675743103,12.0,3.5771901607513428,0.0
700.0,True,False,nan,54.30592346191406,0.17897799611091614,0.7832132577896118,4.0,3.3208627700805664,0.0
700.0,True,False,nan,49.29512405395508,0.1390058547258377,0.9035537838935852,4.0,3.4260144233703613,0.0
700.0,True,False,nan,48.85123825073242,0.173349991440773,0.8915741443634033,4.0,3.463789463043213,0.0
700.0,True,False,nan,48.05170822143555,0.11401617527008057,1.0539237260818481,7.0,3.0019469261169434,0.0
700.0,True,False,nan,52.41579818725586,0.14546142518520355,0.9486245512962341,7.0,3.1356253623962402,0.0
700.0,True,False,nan,46.29841995239258,0.2146427184343338,0.7460452318191528,4.0,3.485997200012207,0.0
700.0,True,False,nan,46.49560546875,0.19567084312438965,0.7945627570152283,4.0,3.2623343467712402,0.0
700.0,True,False,nan,45.736061096191406,0.15914641320705414,0.7929303646087646,4.0,3.294821262359619,0.0
700.0,True,False,nan,49.760780334472656,0.15984119474887848,0.8687732815742493,3.0,3.1179003715515137,0.0
700.0,True,False,nan,46.0604133605957,0.17837250232696533,0.8617377281188965,7.0,3.4037020206451416,0.0
700.0,True,False,nan,49.25986099243164,0.15582053363323212,0.8493775129318237,3.0,3.4183621406555176,0.0
700.0,True,False,nan,47.23104476928711,0.18082715570926666,0.8373029232025146,4.0,3.4360270500183105,0.0
700.0,True,False,nan,47.84366989135742,0.16333645582199097,0.9245894551277161,7.0,3.1136646270751953,0.0
700.0,True,False,nan,45.86580276489258,0.12955544888973236,1.0563197135925293,5.0,3.3161818981170654,0.0
700.0,True,False,nan,51.5222053527832,0.17954474687576294,0.7929534912109375,4.0,3.3044209480285645,0.0
700.0,True,False,nan,47.00194549560547,0.188479483127594,0.8300948143005371,5.0,3.382488489151001,0.0
700.0,True,False,nan,51.16398620605469,0.15112638473510742,0.9229719638824463,5.0,3.34565806388855,0.0
700.0,True,False,nan,49.49806594848633,0.1684396117925644,0.8623905777931213,6.0,3.2669730186462402,0.0
700.0,True,False,nan,46.757083892822266,0.15032880008220673,0.9185165166854858,11.0,3.226557970046997,0.0
700.0,True,False,nan,45.1240348815918,0.16724464297294617,0.9718121886253357,4.0,3.368901014328003,0.0
700.0,True,False,nan,52.746238708496094,0.43851399421691895,0.7654725909233093,7.0,3.471632242202759,0.0
700.0,True,False,nan,45.985679626464844,0.34322866797447205,0.9681029319763184,14.0,3.496849298477173,0.0
700.0,True,False,nan,45.45962905883789,0.7944006323814392,0.9136728048324585,4.0,3.5656285285949707,0.0
700.0,True,False,nan,45.39902877807617,0.6707637310028076,0.9559847116470337,9.0,3.5433526039123535,0.0
700.0,True,False,nan,46.629634857177734,1.865249514579773,0.9742587208747864,5.0,3.267604351043701,0.0
700.0,False,True,1.1999999284744263,41.982486724853516,1.5395883321762085,0.7663748860359192,4.0,3.5309271812438965,0.0
700.0,False,True,0.9199999570846558,34.74544143676758,1.1308271884918213,0.8430654406547546,5.0,3.5304853916168213,0.0
700.0,False,True,1.459999918937683,44.15385818481445,1.8254671096801758,0.7639822959899902,3.0,3.3772966861724854,0.0
700.0,False,True,0.9399999976158142,40.90478515625,1.2977675199508667,0.9099557399749756,3.0,3.2228548526763916,0.0
700.0,False,True,0.9799999594688416,32.237342834472656,1.5357106924057007,0.8780738115310669,4.0,3.322697877883911,0.0
700.0,False,True,1.4399999380111694,43.69490051269531,1.7275716066360474,0.8794857263565063,4.0,3.4688174724578857,0.0
700.0,False,True,0.8999999761581421,42.83797836303711,1.0329700708389282,0.9603159427642822,7.0,3.465367317199707,0.0
700.0,False,True,0.8999999761581421,33.38294219970703,1.3264023065567017,1.0087794065475464,4.0,3.343855857849121,0.0
700.0,False,True,1.1799999475479126,43.7893180847168,1.5570274591445923,0.9296360015869141,4.0,3.21392822265625,0.0
700.0,False,True,1.1799999475479126,38.954078674316406,1.7819445133209229,0.8542006015777588,4.0,3.349102258682251,0.0
700.0,False,True,0.8999999761581421,39.307865142822266,1.1215481758117676,0.8917655944824219,7.0,3.5549733638763428,0.0
700.0,False,False,nan,41.56589889526367,2.460700511932373,0.8721814751625061,7.0,3.4988627433776855,0.0
700.0,False,True,0.9199999570846558,43.14346694946289,1.38271164894104,0.8117286562919617,4.0,3.383683919906616,0.0
700.0,False,True,1.1799999475479126,43.35342025756836,1.3889480829238892,1.063653826713562,6.0,3.270578145980835,0.0
700.0,False,True,0.8999999761581421,39.366153717041016,1.072196125984192,1.0088387727737427,5.0,3.2677736282348633,0.0
700.0,False,True,0.9199999570846558,41.5462532043457,1.2463349103927612,0.8504422903060913,4.0,3.3744423389434814,0.0
700.0,False,True,0.8999999761581421,41.5338020324707,1.1796681880950928,0.8972912430763245,5.0,3.391047477722168,0.0
700.0,False,True,0.9399999976158142,34.56163024902344,1.4405471086502075,0.9213730096817017,3.0,3.3207907676696777,0.0
700.0,False,True,1.4199999570846558,31.098770141601562,1.609768033027649,1.00948166847229,3.0,3.321728467941284,0.0
700.0,False,True,0.9199999570846558,42.89447784423828,1.29153311252594,0.9049028754234314,4.0,3.2271978855133057,0.0
700.0,False,True,0.8999999761581421,40.15591049194336,1.172936201095581,0.9717793464660645,6.0,3.287658214569092,0.0
700.0,False,True,0.9199999570846558,36.456844329833984,1.096163034439087,0.8525185585021973,4.0,3.530421733856201,0.0
700.0,False,True,0.9199999570846558,44.32067108154297,1.0877889394760132,0.9740175008773804,5.0,3.3547325134277344,0.0
700.0,False,True,1.0,34.84463119506836,1.5900202989578247,0.8353559374809265,3.0,3.3418190479278564,0.0
700.0,True,False,nan,47.88370895385742,0.13452444970607758,0.8729088306427002,7.0,3.3579189777374268,0.0
700.0,True,False,nan,56.70330047607422,0.16404159367084503,0.8208774328231812,1.0,3.404452323913574,0.0
700.0,True,False,nan,46.893524169921875,0.15888375043869019,0.7047437429428101,1.0,3.2132325172424316,0.0
700.0,True,False,nan,46.750335693359375,0.17561617493629456,0.7463715076446533,6.0,3.542407989501953,0.0
700.0,True,False,nan,51.24480438232422,0.15357092022895813,0.8152984380722046,7.0,3.421393394470215,0.0
700.0,True,False,nan,45.68307876586914,0.16055995225906372,0.8212353587150574,7.0,3.520961046218872,0.0
700.0,True,False,nan,53.549556732177734,0.1442701369524002,0.9620286822319031,12.0,3.5772180557250977,0.0
700.0,True,False,nan,49.29506301879883,0.13900737464427948,0.9035511016845703,4.0,3.4260265827178955,0.0
700.0,True,False,nan,46.71014404296875,0.1384761929512024,0.9236728549003601,7.0,3.3057594299316406,0.0
700.0,True,False,nan,51.51692581176758,0.1795782893896103,0.7926201820373535,4.0,3.30263614654541,0.0
700.0,True,False,nan,49.2589225769043,0.15581870079040527,0.8493821024894714,3.0,3.4183425903320312,0.0
700.0,True,False,nan,46.46157455444336,0.18746304512023926,0.7174266576766968,1.0,3.5500333309173584,0.0
700.0,True,False,nan,46.76016616821289,0.15032240748405457,0.9185126423835754,11.0,3.226590394973755,0.0
700.0,True,False,nan,45.73636245727539,0.15914778411388397,0.7929244041442871,4.0,3.2948110103607178,0.0
700.0,True,False,nan,45.81072998046875,0.12962710857391357,1.0561786890029907,5.0,3.3140740394592285,0.0
700.0,True,False,nan,51.16971206665039,0.15102526545524597,0.9240038990974426,5.0,3.3518002033233643,0.0
700.0,True,False,nan,54.30626678466797,0.17897658050060272,0.7832183837890625,4.0,3.3208837509155273,0.0
700.0,True,False,nan,52.74628829956055,0.4385152757167816,0.7654705047607422,7.0,3.471632242202759,0.0
700.0,True,False,nan,49.49702072143555,0.16844013333320618,0.8623855710029602,5.0,3.2669718265533447,0.0
700.0,True,False,nan,46.8375129699707,0.1661900281906128,0.7953476905822754,3.0,3.0351855754852295,0.0
700.0,True,False,nan,49.76093292236328,0.1598408818244934,0.8687751889228821,3.0,3.1179091930389404,0.0
700.0,True,False,nan,49.599571228027344,0.20783719420433044,0.8046818375587463,4.0,3.289348602294922,0.0
700.0,True,False,nan,47.84365463256836,0.16333594918251038,0.924592137336731,7.0,3.1136646270751953,0.0
